cycle, time, dist_travelled, sf, vel, acc, req_ped, req_acc, req_vel, C0, C1, C2, C3, C4, C5, T, vehX, vehY, slope, intercept;
463, 23.149, 158.352, -3.71148e-06, 9.27545e-05, 0.00185444, -20.1371, -4.65541, 0.000226388, 0, 9.27545e-05, 0.00185444, 0.0278069, 0.277971, 1.38937, -0.20007, 158.352, -0.626604, -0.0383384, 5.64428;
464, 23.199, 158.352, -0.851671, 1.13076e-06, -0.00183245, -20.3698, -4.65552, -9.06342e-05, 0, 1.13076e-06, -0.00183245, -0.000114042, -3.54865e-06, -4.90771e-08, -96.4104, 158.352, -0.626607, -0.0383384, 5.64428;
465, 23.249, 158.352, -1.15677e-06, 2.77408e-05, 0.000532208, -20.602, -4.64581, 6.55455e-05, 0, 2.77408e-05, 0.000532208, 0.00765781, 0.0734576, 0.352322, -0.208496, 158.352, -0.626606, -0.0383384, 5.64428;
466, 23.299, 158.352, -0.851672, 1.75213e-05, -0.000204375, -20.8343, -4.64581, 7.29719e-06, 0, 1.75213e-05, -0.000204375, -4.25517e-06, -4.42795e-08, -2.04768e-10, -288.351, 158.352, -0.626603, -0.0383384, 5.64428;
467, 23.349, 158.352, -0.851673, 1.51705e-06, -0.000320079, -21.0666, -4.64582, -1.44973e-05, 0, 1.51705e-06, -0.000320079, -8.32604e-06, -1.08288e-07, -6.2594e-10, -230.668, 158.352, -0.626602, -0.0383384, 5.64428;
468, 23.399, 158.352, -0.851673, 4.16143e-07, -2.20179e-05, -21.2989, -4.64582, -6.84939e-07, 0, 4.16143e-07, -2.20179e-05, -1.50217e-07, -5.12413e-10, -7.76848e-13, -879.481, 158.352, -0.626602, -0.0383384, 5.64428;
469, 23.449, 158.352, -7.70709e-08, 1.31884e-06, 1.80544e-05, -21.5311, -4.6456, 2.48083e-06, 0, 1.31884e-06, 1.80544e-05, 0.000185368, 0.00126881, 0.00434238, -0.292192, 158.352, -0.626602, -0.0383384, 5.64428;
470, 23.499, 158.352, -0.851673, 7.46915e-07, -1.14379e-05, -21.7634, -4.6456, 1.74951e-07, 0, 7.46915e-07, -1.14379e-05, -5.62544e-08, -1.38327e-10, -1.51171e-13, -1220.07, 158.352, -0.626603, -0.0383384, 5.64428;
471, 23.549, 158.352, -0.851673, 1.60588e-07, -1.17263e-05, -21.9957, -4.6456, -4.25801e-07, 0, 1.60588e-07, -1.17263e-05, -5.83809e-08, -1.45326e-10, -1.60781e-13, -1205.18, 158.352, -0.626603, -0.0383384, 5.64428;
472, 23.599, 158.352, -0.851673, 3.14047e-08, -2.58363e-06, -22.228, -4.6456, -9.77842e-08, 0, 3.14047e-08, -2.58363e-06, -6.0375e-09, -7.05426e-12, -3.66321e-15, -2567.61, 158.352, -0.626603, -0.0383384, 5.64428;
473, 23.649, 158.352, -3.3593e-06, 8.39517e-05, 0.00167842, -22.4584, -4.61336, 0.0002049, 0, 8.39517e-05, 0.00167842, 0.025167, 0.251577, 1.25742, -0.200074, 158.352, -0.626602, -0.0383384, 5.64428;
474, 23.699, 158.352, -0.851676, 3.07709e-06, -0.00161747, -22.689, -4.61345, -7.79145e-05, 0, 3.07709e-06, -0.00161747, -9.45802e-05, -2.76519e-06, -3.59305e-08, -102.613, 158.352, -0.626599, -0.0383384, 5.64428;
475, 23.749, 158.352, -1.53923e-06, 3.51086e-05, 0.00064064, -22.9191, -4.60246, 7.98616e-05, 0, 3.51086e-05, 0.00064064, 0.00876751, 0.079992, 0.364911, -0.21921, 158.352, -0.626601, -0.0383384, 5.64428;
476, 23.799, 158.352, -0.851678, 1.78353e-05, -0.000345448, -23.1492, -4.60247, 5.51276e-07, 0, 1.78353e-05, -0.000345448, -9.34712e-06, -1.26418e-07, -7.59842e-10, -221.849, 158.352, -0.626603, -0.0383384, 5.64428;
477, 23.849, 158.352, -0.851679, 6.42023e-07, -0.000343861, -23.3793, -4.60248, -1.65626e-05, 0, 6.42023e-07, -0.000343861, -9.27033e-06, -1.2496e-07, -7.48627e-10, -222.56, 158.352, -0.626604, -0.0383384, 5.64428;
478, 23.899, 158.352, -1.13367e-07, 9.82859e-07, 6.81689e-06, -23.6094, -4.60244, 1.37065e-06, 0, 9.82859e-07, 6.81689e-06, 3.54603e-05, 0.000122972, 0.000213227, -0.57672, 158.352, -0.626604, -0.0383384, 5.64428;
479, 23.949, 158.352, -1.60766e-07, 1.71243e-06, 1.45922e-05, -23.8395, -4.60234, 2.56711e-06, 0, 1.71243e-06, 1.45922e-05, 9.32584e-05, 0.000397343, 0.000846472, -0.46941, 158.352, -0.626604, -0.0383384, 5.64428;
480, 23.999, 158.352, -0.851679, 7.80028e-07, -1.86473e-05, -24.0696, -4.60234, -1.52481e-07, 0, 7.80028e-07, -1.86473e-05, -1.17094e-07, -3.6762e-10, -5.12949e-13, -955.585, 158.352, -0.626603, -0.0383384, 5.64428;
481, 24.049, 158.352, -0.851679, 1.30849e-07, -1.29833e-05, -24.2997, -4.60234, -5.18403e-07, 0, 1.30849e-07, -1.29833e-05, -6.80144e-08, -1.78148e-10, -2.07384e-13, -1145.37, 158.352, -0.626603, -0.0383384, 5.64428;
482, 24.099, 158.352, -0.851679, 3.30726e-08, -1.9555e-06, -24.5299, -4.60234, -6.47075e-08, 0, 3.30726e-08, -1.9555e-06, -3.97558e-09, -4.04119e-12, -1.82573e-15, -2951.3, 158.352, -0.626603, -0.0383384, 5.64428;
483, 24.149, 158.352, -3.7115e-06, 9.2755e-05, 0.00185445, -24.7579, -4.56671, 0.000226389, 0, 9.2755e-05, 0.00185445, 0.027807, 0.277973, 1.38938, -0.20007, 158.352, -0.626604, -0.0383384, 5.64428;
484, 24.199, 158.352, -0.851683, 1.13068e-06, -0.00183246, -24.9862, -4.56682, -9.06348e-05, 0, 1.13068e-06, -0.00183246, -0.000114042, -3.54864e-06, -4.90768e-08, -96.4108, 158.352, -0.626607, -0.0383384, 5.64428;
485, 24.249, 158.352, -1.15675e-06, 2.77405e-05, 0.000532203, -25.214, -4.55711, 6.55449e-05, 0, 2.77405e-05, 0.000532203, 0.00765776, 0.0734573, 0.352321, -0.208496, 158.352, -0.626606, -0.0383384, 5.64428;
486, 24.299, 158.352, -0.851684, 1.75212e-05, -0.00020437, -25.4418, -4.55711, 7.29744e-06, 0, 1.75212e-05, -0.00020437, -4.25496e-06, -4.42764e-08, -2.0475e-10, -288.357, 158.352, -0.626604, -0.0383384, 5.64428;
487, 24.349, 158.352, -0.851685, 1.5171e-06, -0.000320077, -25.6696, -4.55712, -1.44972e-05, 0, 1.5171e-06, -0.000320077, -8.32592e-06, -1.08285e-07, -6.2592e-10, -230.67, 158.352, -0.626602, -0.0383384, 5.64428;
488, 24.399, 158.352, -0.851685, 4.16117e-07, -2.20195e-05, -25.8975, -4.55712, -6.85045e-07, 0, 4.16117e-07, -2.20195e-05, -1.50232e-07, -5.1248e-10, -7.76972e-13, -879.455, 158.352, -0.626602, -0.0383384, 5.64428;
489, 24.449, 158.352, -7.70679e-08, 1.31881e-06, 1.80544e-05, -26.1253, -4.5569, 2.48081e-06, 0, 1.31881e-06, 1.80544e-05, 0.000185372, 0.00126886, 0.00434265, -0.292186, 158.352, -0.626603, -0.0383384, 5.64428;
490, 24.499, 158.352, -0.851685, 7.46911e-07, -1.14374e-05, -26.3532, -4.5569, 1.7497e-07, 0, 7.46911e-07, -1.14374e-05, -5.62508e-08, -1.38315e-10, -1.51153e-13, -1220.11, 158.352, -0.626603, -0.0383384, 5.64428;
491, 24.549, 158.352, -0.851685, 1.6059e-07, -1.17262e-05, -26.581, -4.5569, -4.25793e-07, 0, 1.6059e-07, -1.17262e-05, -5.83796e-08, -1.45321e-10, -1.60773e-13, -1205.19, 158.352, -0.626603, -0.0383384, 5.64428;
492, 24.599, 158.352, -0.851685, 3.14048e-08, -2.58367e-06, -26.8089, -4.5569, -9.77861e-08, 0, 3.14048e-08, -2.58367e-06, -6.03759e-09, -7.05437e-12, -3.66328e-15, -2567.6, 158.352, -0.626603, -0.0383384, 5.64428;
493, 24.649, 158.352, -3.35928e-06, 8.39511e-05, 0.0016784, -27.0349, -4.52466, 0.000204898, 0, 8.39511e-05, 0.0016784, 0.0251668, 0.251576, 1.25742, -0.200074, 158.352, -0.626602, -0.0383384, 5.64428;
494, 24.699, 158.352, -0.851688, 3.07719e-06, -0.00161745, -27.261, -4.52476, -7.79137e-05, 0, 3.07719e-06, -0.00161745, -9.45783e-05, -2.7651e-06, -3.5929e-08, -102.614, 158.352, -0.626599, -0.0383384, 5.64428;
495, 24.749, 158.352, -1.53925e-06, 3.5109e-05, 0.000640645, -27.4866, -4.51376, 7.98622e-05, 0, 3.5109e-05, 0.000640645, 0.00876755, 0.0799923, 0.364911, -0.21921, 158.352, -0.626601, -0.0383384, 5.64428;
496, 24.799, 158.352, -0.85169, 1.78353e-05, -0.000345456, -27.7123, -4.51377, 5.50841e-07, 0, 1.78353e-05, -0.000345456, -9.34737e-06, -1.26422e-07, -7.59869e-10, -221.848, 158.352, -0.626603, -0.0383384, 5.64428;
497, 24.849, 158.352, -0.851691, 6.41977e-07, -0.000343861, -27.938, -4.51378, -1.65627e-05, 0, 6.41977e-07, -0.000343861, -9.27026e-06, -1.24959e-07, -7.48611e-10, -222.561, 158.352, -0.626604, -0.0383384, 5.64428;
498, 24.899, 158.352, -1.13347e-07, 9.82903e-07, 6.81867e-06, -28.1637, -4.51374, 1.3708e-06, 0, 9.82903e-07, 6.81867e-06, 3.54772e-05, 0.000123058, 0.000213421, -0.576595, 158.352, -0.626605, -0.0383384, 5.64428;
499, 24.949, 158.352, -1.60775e-07, 1.71245e-06, 1.45918e-05, -28.3894, -4.51364, 2.56711e-06, 0, 1.71245e-06, 1.45918e-05, 9.32527e-05, 0.000397303, 0.000846355, -0.469428, 158.352, -0.626604, -0.0383384, 5.64428;
500, 24.999, 158.352, -0.851691, 7.80029e-07, -1.86478e-05, -28.615, -4.51364, -1.52505e-07, 0, 7.80029e-07, -1.86478e-05, -1.17098e-07, -3.67635e-10, -5.12974e-13, -955.579, 158.352, -0.626604, -0.0383384, 5.64428;
501, 25.049, 158.352, -0.851691, 1.30846e-07, -1.29834e-05, -28.8407, -4.51364, -5.1841e-07, 0, 1.30846e-07, -1.29834e-05, -6.80145e-08, -1.78147e-10, -2.07383e-13, -1145.37, 158.352, -0.626603, -0.0383384, 5.64428;
502, 25.099, 158.352, -0.851691, 3.3073e-08, -1.95544e-06, -29.0664, -4.51364, -6.47042e-08, 0, 3.3073e-08, -1.95544e-06, -3.97538e-09, -4.0409e-12, -1.82555e-15, -2951.37, 158.352, -0.626603, -0.0383384, 5.64428;
503, 25.149, 158.352, 1.64831, 9.27553e-05, 0.00185446, 0.0264924, 2.6511, -0.0252781, 0, 9.27553e-05, 0.00185446, 7.28062, -4.66012, 0.994217, 4.68723, 158.352, -0.626604, -0.0383384, 5.64428;
504, 25.199, 158.352, 1.64831, 1.13063e-06, -0.00183246, 0.0500183, 5, -0.0255397, 0, 1.13063e-06, -0.00183246, 7.28295, -4.66059, 0.994206, 4.68775, 158.352, -0.626607, -0.0383384, 5.64428;
505, 25.249, 158.352, 1.6483, 2.8869e-05, 0.000554774, 0.0499945, 5, -0.0254018, 0, 2.8869e-05, 0.000554774, 7.28143, -4.66027, 0.994209, 4.68742, 158.352, -0.626606, -0.0383384, 5.64428;
506, 25.299, 158.352, 1.6483, 2.87667e-05, -2.02722e-06, 0.05, 5, -0.0254276, 0, 2.87667e-05, -2.02722e-06, 7.28179, -4.66035, 0.994209, 4.68749, 158.352, -0.626604, -0.0383384, 5.64428;
507, 25.349, 158.352, 1.6483, 0.000473805, 0.00890078, 0.049911, 5, -0.0245731, 0, 0.000473805, 0.00890078, 7.27621, -4.6593, 0.994264, 4.68618, 158.352, -0.626602, -0.0383384, 5.64428;
508, 25.399, 158.352, 1.64802, 0.011128, 0.213084, 0.287215, 5, -0.0045336, 0, 0.011128, 0.213084, 7.14659, -4.63389, 0.995175, 4.65636, 158.352, -0.626598, -0.0383384, 5.64428;
509, 25.449, 158.354, 1.64628, 0.0654494, 1.08643, 0.47416, 5, 0.08984, 0, 0.0654494, 1.08643, 6.55686, -4.49611, 0.991452, 4.53487, 158.354, -0.626584, -0.0383384, 5.64428;
510, 25.499, 158.36, 1.63997, 0.164436, 1.97973, 0.616241, 5, 0.2295, 0, 0.164436, 1.97973, 5.90013, -4.31426, 0.977271, 4.4146, 158.36, -0.626523, -0.0383384, 5.64428;
511, 25.549, 158.374, 1.62595, 0.447355, 5, 0.586038, 5, 0.649455, 0, 0.447355, 5, 3.25115, -3.28566, 0.804157, 4.08584, 158.374, -0.626384, -0.0383384, 5.64428;
512, 25.599, 158.398, 1.60201, 0.649157, 4.03604, 0.643876, 5, 0.80609, 0, 0.649157, 4.03604, 4.16392, -3.72588, 0.900398, 4.13804, 158.398, -0.626146, -0.0383384, 5.64428;
513, 25.649, 158.432, 1.56818, 0.89122, 4.84126, 0.64376, 5, 1.08359, 0, 0.89122, 4.84126, 3.38402, -3.40595, 0.843689, 4.03698, 158.432, -0.625813, -0.0383384, 5.64428;
514, 25.699, 158.477, 1.52346, 1.1028, 4.23159, 0.688278, 5, 1.26614, 0, 1.1028, 4.23159, 3.97119, -3.70831, 0.914149, 4.05657, 158.477, -0.625378, -0.614005, 97.2932;
515, 25.749, 158.533, 1.46737, 1.28679, 3.67945, 0.759827, 5, 1.42385, 0, 1.28679, 3.67945, 4.49745, -3.97463, 0.975135, 4.07598, 158.533, -0.625501, -0.614005, 97.2932;
516, 25.799, 158.601, 1.39927, 1.47966, 3.85577, 0.815275, 5, 1.62363, 0, 1.47966, 3.85577, 4.32511, -3.92714, 0.973471, 4.03416, 158.601, -0.626817, -0.614005, 97.2932;
517, 25.849, 158.682, 1.31807, 1.69512, 4.3055, 0.845503, 5, 1.85823, 0, 1.69512, 4.3055, 3.87142, -3.74596, 0.943757, 3.9692, 158.682, -0.628721, -0.614005, 97.2932;
518, 25.899, 158.777, 1.22284, 1.94934, 5, 0.838558, 5, 2.14238, 0, 1.94934, 5, 3.13376, -3.41413, 0.878882, 3.88463, 158.777, -0.63132, -0.614005, 97.2932;
519, 25.949, 158.887, 1.11326, 2.27431, 5, 0.838558, 5, 2.4652, 0, 2.27431, 5, 3.09499, -3.43122, 0.892746, 3.84345, 158.887, -0.634794, -0.614005, 97.2932;
520, 25.999, 159.011, 0.98939, 2.6274, 5, 0.838558, 5, 2.81588, 0, 2.6274, 5, 3.04713, -3.4449, 0.906649, 3.79959, 159.011, -0.639348, -0.614005, 97.2932;
521, 26.049, 159.149, 0.85121, 2.96754, 5, 0.838558, 5, 3.15361, 0, 2.96754, 5, 2.99523, -3.45298, 0.918785, 3.7582, 159.149, -0.64522, 0, 0;
522, 26.099, 159.301, 0.698558, 3.27649, 5, 0.838558, 5, 3.46026, 0, 3.27649, 5, 2.94302, -3.45575, 0.928637, 3.72131, 159.301, -0.651052, 0, 0;
523, 26.149, 159.469, 0.531171, 3.54239, 5, 0.838558, 5, 3.72409, 0, 3.54239, 5, 2.89413, -3.45448, 0.936151, 3.69009, 159.469, -0.654624, 0, 0;
524, 26.199, 159.651, 0.349126, 3.80633, 5, 0.838558, 5, 3.98589, 0, 3.80633, 5, 2.84191, -3.44974, 0.942664, 3.65957, 159.651, -0.658554, 0, 0;
525, 26.249, 159.848, 0.152499, 4.06973, 5, 0.838558, 5, 4.24709, 0, 4.06973, 5, 2.78605, -3.44142, 0.948161, 3.62957, 159.848, -0.662762, 0, 0;
526, 26.299, 160.059, -0.058686, 4.34262, 5, 0.838558, 5, 4.51764, 0, 4.34262, 5, 2.72416, -3.42886, 0.952735, 3.59897, 160.059, -0.667141, 0, 0;
527, 26.349, 160.284, -0.284327, 4.63796, 5, 0.838558, 5, 4.81038, 0, 4.63796, 5, 2.65248, -3.41058, 0.956314, 3.56637, 160.284, -0.67159, 0, 0;
528, 26.399, 160.524, -0.524294, 4.94948, 5, 0.838558, 5, 5.11908, 0, 4.94948, 5, 2.57146, -3.38579, 0.958445, 3.53258, 160.524, -0.676044, 0, 0;
529, 26.449, 160.779, -0.778561, 5.24548, 5, 0.838558, 5, 5.41229, 0, 5.24548, 5, 2.48922, -3.35678, 0.958801, 3.50102, 160.779, -0.680449, 0, 0;
530, 26.499, 161.047, -1.04724, 5.51978, 5, 0.838558, 5, 5.68388, 0, 5.51978, 5, 2.40836, -3.32497, 0.95759, 3.47223, 161.047, -0.684754, 0, 0;
531, 26.549, 161.33, -1.3303, 5.80291, 5, 0.838558, 5, 5.96414, 0, 5.80291, 5, 2.32009, -3.28698, 0.954695, 3.44297, 161.33, -0.688902, 0, 0;
532, 26.599, 161.628, -1.62758, 6.09401, 5, 0.838558, 5, 6.25219, 0, 6.09401, 5, 2.22418, -3.24227, 0.949876, 3.41336, 161.628, -0.692835, 0, 0;
533, 26.649, 161.939, -1.93912, 6.3756, 5, 0.838558, 5, 6.53072, 0, 6.3756, 5, 2.12631, -3.19336, 0.943339, 3.38516, 161.939, -0.696515, 0, 0;
534, 26.699, 162.265, -2.26487, 6.65979, 5, 0.838558, 5, 6.81171, 0, 6.65979, 5, 2.02239, -3.13816, 0.93477, 3.35714, 162.265, -0.699944, 0, 0;
535, 26.749, 162.605, -2.60477, 6.94271, 5, 0.838558, 5, 7.09135, 0, 6.94271, 5, 1.91368, -3.07718, 0.924168, 3.32967, 162.605, -0.703017, 0, 0;
536, 26.799, 162.959, -2.95881, 7.22453, 5, 0.838558, 5, 7.36977, 0, 7.22453, 5, 1.80012, -3.01026, 0.911449, 3.30272, 162.959, -0.70567, 0, 0;
537, 26.849, 163.327, -3.32692, 7.5057, 5, 0.838558, 5, 7.64746, 0, 7.5057, 5, 1.68147, -2.93716, 0.896503, 3.27624, 163.327, -0.707852, 0, 0;
538, 26.899, 163.709, -3.70907, 7.78588, 5, 0.838558, 5, 7.92403, 0, 7.78588, 5, 1.55783, -2.85781, 0.87926, 3.25024, 163.709, -0.70951, 0, 0;
539, 26.949, 164.105, -4.10521, 8.06514, 5, 0.838558, 5, 8.19958, 0, 8.06514, 5, 1.42915, -2.77205, 0.859629, 3.2247, 164.105, -0.710586, 0, 0;
540, 26.999, 164.515, -4.51529, 8.34345, 5, 0.838558, 5, 8.47406, 0, 8.34345, 5, 1.29539, -2.67976, 0.837521, 3.19963, 164.515, -0.711023, 0, 0;
541, 27.049, 164.939, -4.93926, 8.62075, 5, 0.838558, 5, 8.74743, 0, 8.62075, 5, 1.15657, -2.58082, 0.812855, 3.175, 164.939, -0.71076, 0, 0;
542, 27.099, 165.377, -5.37707, 8.89704, 5, 0.838558, 5, 9.01966, 0, 8.89704, 5, 1.01265, -2.4751, 0.785543, 3.15082, 165.377, -0.709737, 0, 0;
543, 27.149, 165.829, -5.82867, 9.1723, 5, 0.838558, 5, 9.29074, 0, 9.1723, 5, 0.863622, -2.3625, 0.755501, 3.12707, 165.829, -0.707925, 0, 0;
544, 27.199, 166.294, -6.294, 9.44648, 5, 0.838558, 5, 9.56062, 0, 9.44648, 5, 0.709495, -2.2429, 0.722644, 3.10374, 166.294, -0.705368, 0, 0;
545, 27.249, 166.773, -6.77301, 9.71955, 5, 0.838558, 5, 9.82927, 0, 9.71955, 5, 0.55027, -2.11619, 0.686891, 3.08083, 166.773, -0.70197, 0, 0;
546, 27.299, 167.266, -7.26563, 9.99148, 5, 0.838558, 5, 10.0967, 0, 9.99148, 5, 0.385949, -1.98229, 0.648161, 3.05833, 167.266, -0.697657, 0, 0;
547, 27.349, 167.772, -7.77182, 10.2623, 5, 0.836999, 4.97402, 10.3698, 0, 10.2623, 5, 0.0127547, -1.56202, 0.502072, 3.11114, 167.772, -0.692401, 0, 0;
548, 27.399, 168.292, -8.2915, 10.5316, 5, 0.813687, 4.60715, 10.6415, 0, 10.5316, 5, -0.337673, -1.17717, 0.37191, 3.16521, 168.292, -0.686177, 0, 0;
549, 27.449, 168.825, -8.82454, 10.7957, 5, 0.753385, 3.92949, 10.9078, 0, 10.7957, 5, -0.656906, -0.836536, 0.260005, 3.21738, 168.825, -0.678958, 0, 0;
550, 27.499, 169.37, -9.37047, 11.0452, 4.98965, 0.644257, 2.99242, 11.1587, 0, 11.0452, 4.98965, -0.923298, -0.555027, 0.169923, 3.26633, 169.37, -0.670721, 0, 0;
551, 27.549, 169.928, -9.92823, 11.266, 4.41546, 0.557563, 2.6377, 11.356, 0, 11.266, 4.41546, -0.332554, -0.893621, 0.268182, 3.33214, 169.928, -0.661454, 0, 0;
552, 27.599, 170.496, -10.4962, 11.4533, 3.74587, 0.531599, 3.01683, 11.5151, 0, 11.4533, 3.74587, 0.412343, -1.33823, 0.393989, 3.39663, 170.496, -0.65116, 0, 0;
553, 27.649, 171.073, -11.0728, 11.6188, 3.31127, 0.569201, 3.81648, 11.6625, 0, 11.6188, 3.31127, 0.838495, -1.56529, 0.454004, 3.44775, 171.073, -0.63988, 0, 0;
554, 27.699, 171.658, -11.6576, 11.7827, 3.27792, 0.637376, 4.49836, 11.8256, 0, 11.7827, 3.27792, 0.71738, -1.43, 0.41084, 3.48068, 171.658, -0.627741, 0, 0;
555, 27.749, 172.251, -12.2509, 11.9614, 3.57308, 0.687825, 4.6173, 12.0178, 0, 11.9614, 3.57308, 0.143705, -0.997659, 0.284961, 3.50104, 172.251, -0.614707, 0, 0;
556, 27.799, 172.854, -12.8536, 12.1585, 3.94282, 0.684784, 4.06618, 12.232, 0, 12.1585, 3.94282, -0.53884, -0.495031, 0.140597, 3.52092, 172.854, -0.600731, 0, 0;
557, 27.849, 173.466, -13.4663, 12.3639, 4.10686, 0.624549, 3.1235, 12.4455, 0, 12.3639, 4.10686, -0.938092, -0.18453, 0.0519648, 3.55106, 173.466, -0.585827, 0, 0;
558, 27.899, 174.089, -14.0892, 12.5597, 3.91658, 0.535968, 2.27633, 12.6338, 0, 12.5597, 3.91658, -0.842049, -0.206349, 0.0573935, 3.59534, 174.089, -0.570036, 0, 0;
559, 27.949, 174.721, -14.7213, 12.7312, 3.43099, 0.462274, 1.92938, 12.7847, 0, 12.7312, 3.43099, -0.334589, -0.497787, 0.1364, 3.64945, 174.721, -0.55342, 0, 0;
560, 27.999, 175.361, -15.3613, 12.8748, 2.87188, 0.436214, 2.18727, 12.9042, 0, 12.8748, 2.87188, 0.279101, -0.854397, 0.230725, 3.70309, 175.361, -0.536056, 0, 0;
561, 28.049, 176.008, -16.0079, 12.9994, 2.49143, 0.463223, 2.82749, 13.0122, 0, 12.9994, 2.49143, 0.666711, -1.06695, 0.284891, 3.74512, 176.008, -0.518017, 0, 0;
562, 28.099, 176.661, -16.6606, 13.1211, 2.43361, 0.520619, 3.44621, 13.1314, 0, 13.1211, 2.43361, 0.644208, -1.02627, 0.272212, 3.7701, 176.661, -0.499366, 0, 0;
563, 28.149, 177.32, -17.3195, 13.2543, 2.66365, 0.571411, 3.67896, 13.2749, 0, 13.2543, 2.66365, 0.251589, -0.758294, 0.200509, 3.78184, 177.32, -0.480161, 0, 0;
564, 28.199, 177.986, -17.9855, 13.4042, 2.99822, 0.584542, 3.38629, 13.4398, 0, 13.4042, 2.99822, -0.282687, -0.402199, 0.106097, 3.79084, 177.986, -0.46051, 0, 0;
565, 28.249, 178.659, -18.6593, 13.5648, 3.21229, 0.550854, 2.7155, 13.6101, 0, 13.5648, 3.21229, -0.667339, -0.138897, 0.0364781, 3.8077, 178.659, -0.440428, 0, 0;
566, 28.299, 179.341, -19.3412, 13.7228, 3.15987, 0.486594, 2.00608, 13.7662, 0, 13.7228, 3.15987, -0.707166, -0.0908507, 0.0236734, 3.83767, 179.341, -0.41994, 0, 0;
567, 28.349, 180.031, -20.0306, 13.8651, 2.8457, 0.42301, 1.59367, 13.8949, 0, 13.8651, 2.8457, -0.406114, -0.253333, 0.0653122, 3.8788, 180.031, -0.399131, 0, 0;
568, 28.399, 180.727, -20.7266, 13.9857, 2.41229, 0.388752, 1.63266, 13.9966, 0, 13.9857, 2.41229, 0.0516473, -0.509675, 0.129913, 3.92322, 180.727, -0.378116, 0, 0;
569, 28.42, 180.727, -20.7266, 13.9857, 2.41229, 0.35211, 1.67164, 13.9966, 0, 13.9857, 2.41229, 0.0516473, -0.509675, 0.129913, 3.92322, 180.727, -0.378116, 0, 0;
